aX,aY,aZ,gX,gY,gZ
0.345,-0.895,0.827,-16.907,3.113,26.611
0.356,-0.888,0.846,-19.348,4.395,28.503
0.368,-0.891,0.852,-23.01,5.798,30.029
0.377,-0.876,0.866,-28.137,6.897,31.128
0.368,-0.853,0.875,-33.203,7.202,32.654
0.37,-0.837,0.885,-37.292,8.362,34.729
0.379,-0.864,0.891,-41.809,9.949,37.476
0.396,-0.873,0.891,-48.462,10.742,39.551
0.406,-0.888,0.886,-58.594,10.437,42.175
0.415,-0.852,0.851,-70.313,9.644,43.518
0.422,-0.828,0.808,-80.872,8.484,45.471
0.42,-0.792,0.785,-89.6,6.104,47.424
0.434,-0.741,0.794,-95.276,4.211,49.683
0.427,-0.695,0.812,-96.863,4.089,52.307
0.419,-0.693,0.813,-96.619,3.784,55.115
0.424,-0.692,0.814,-99.976,3.296,57.19
0.427,-0.648,0.794,-105.042,1.892,57.861
0.419,-0.614,0.767,-109.375,-0.488,58.594
0.404,-0.576,0.761,-113.647,-2.686,58.533
0.391,-0.533,0.77,-117.188,-4.089,57.922
0.383,-0.5,0.762,-118.896,-4.15,57.983
0.382,-0.457,0.753,-120.422,-3.906,58.228
0.377,-0.423,0.752,-119.568,-3.845,57.922
0.372,-0.408,0.76,-116.638,-4.15,57.556
0.341,-0.381,0.762,-113.037,-5.249,56.885
0.332,-0.325,0.783,-109.558,-2.502,59.082
0.343,-0.32,0.788,-103.821,1.282,62.5
0.352,-0.293,0.794,-96.741,3.418,61.768
0.369,-0.259,0.794,-88.074,3.723,58.105
0.373,-0.216,0.774,-78.003,3.052,55.847
0.336,-0.234,0.751,-66.956,1.77,54.871
0.311,-0.234,0.731,-61.096,1.953,54.749
0.31,-0.216,0.714,-59.143,3.235,54.749
0.317,-0.199,0.718,-58.105,4.333,54.26
0.317,-0.199,0.746,-56.091,5.066,53.467
0.332,-0.213,0.762,-52.063,5.676,52.734
0.347,-0.218,0.758,-47.729,5.92,52.124
0.349,-0.196,0.758,-43.884,5.493,50.903
0.346,-0.184,0.743,-39.307,5.371,49.438
0.346,-0.184,0.733,-34.302,5.92,48.523
0.356,-0.189,0.743,-32.043,7.019,47.729
0.359,-0.176,0.756,-32.41,7.996,46.753
0.363,-0.151,0.77,-33.691,8.667,45.349
0.364,-0.132,0.766,-34.424,8.911,43.396
0.367,-0.128,0.772,-34.729,8.972,42.053
0.367,-0.111,0.792,-36.682,8.545,41.016
0.364,-0.108,0.807,-36.743,8.301,39.795
0.369,-0.092,0.807,-35.522,8.484,39.124
0.372,-0.092,0.789,-33.691,8.728,38.452
0.382,-0.089,0.774,-33.569,8.972,38.33
0.386,-0.059,0.755,-33.752,8.545,37.537
0.387,-0.045,0.738,-32.654,7.568,36.133
0.384,-0.047,0.744,-32.715,6.836,35.522
0.385,-0.024,0.75,-33.752,5.737,34.241
0.385,0.001,0.765,-34.973,4.028,32.349
0.381,0.016,0.786,-35.522,3.113,30.518
0.392,0.023,0.793,-35.034,2.991,28.809
0.402,0.037,0.809,-35.217,2.869,26.978
0.388,0.067,0.822,-33.508,2.502,25.513
0.387,0.065,0.824,-30.029,2.93,24.17
0.404,0.06,0.827,-27.039,4.028,23.071
0.412,0.041,0.826,-23.865,5.188,21.729
0.426,0.027,0.818,-19.714,6.226,20.752
0.448,0.012,0.814,-17.456,7.141,19.531
0.461,0.006,0.818,-16.602,7.08,18.494
0.461,0.017,0.833,-15.503,6.653,17.395
0.468,0.029,0.847,-14.648,6.165,16.052
0.48,0.061,0.847,-14.099,5.859,14.709
0.479,0.094,0.836,-13.855,5.066,13.306
0.478,0.1,0.832,-13.916,4.272,12.207
0.477,0.094,0.829,-14.038,3.357,11.963
0.491,0.086,0.832,-13.245,2.686,11.841
0.493,0.083,0.84,-11.047,1.892,11.963
0.494,0.076,0.832,-8.24,1.099,12.268
0.494,0.079,0.835,-7.629,0.732,12.024
0.481,0.099,0.845,-9.155,0.061,11.169
0.475,0.121,0.857,-9.949,-0.549,9.705
0.478,0.139,0.864,-10.071,-0.793,8.179
0.477,0.14,0.87,-9.827,-0.793,6.592
0.466,0.15,0.871,-9.094,-0.61,5.676
0.458,0.133,0.868,-7.568,-0.549,5.066
0.457,0.116,0.871,-7.812,-0.549,4.578
0.459,0.114,0.868,-8.911,-1.099,4.089
0.455,0.106,0.864,-7.385,-1.709,3.662
0.462,0.07,0.856,-5.188,-1.404,3.54
0.473,0.057,0.853,-4.211,-0.793,3.601
0.478,0.057,0.837,-3.784,-0.671,3.296
0.484,0.051,0.834,-3.601,-0.854,2.93
0.481,0.055,0.849,-4.272,-1.038,2.502
0.472,0.045,0.858,-4.761,-1.221,2.136
0.479,0.041,0.862,-5.371,-1.038,2.38
0.477,0.061,0.871,-5.127,-0.427,2.808
0.463,0.077,0.872,-3.906,0.244,3.113
0.465,0.086,0.873,-2.808,1.404,3.113
0.469,0.094,0.872,-1.953,2.319,3.235
0.471,0.08,0.862,-1.526,2.991,3.357
0.471,0.076,0.852,-1.587,3.174,3.357
0.47,0.079,0.849,-1.404,3.235,3.296
0.472,0.074,0.851,-1.465,3.296,2.808
0.479,0.065,0.851,-1.709,3.479,2.808
0.487,0.065,0.856,-2.258,3.357,2.93
0.49,0.081,0.861,-2.625,3.174,2.502
0.493,0.081,0.873,-2.502,3.052,2.258
0.496,0.09,0.887,-3.113,3.052,2.38
0.495,0.115,0.883,-3.479,2.869,2.258
0.485,0.123,0.877,-2.869,2.747,2.197
0.479,0.105,0.866,-2.136,2.93,2.319
0.481,0.088,0.853,-2.136,3.113,2.686
0.487,0.072,0.843,-2.563,3.235,2.869
0.482,0.049,0.844,-2.563,2.808,2.93
0.485,0.04,0.858,-2.93,2.197,3.113
0.489,0.054,0.864,-3.662,1.953,2.991
0.488,0.078,0.857,-3.235,1.77,2.686
