aX,aY,aZ,gX,gY,gZ
-0.008,-0.569,1.532,-78.979,-10.925,27.283
-0.01,-0.607,1.543,-89.233,-4.822,36.377
-0.004,-0.568,1.538,-99.915,1.77,44.556
-0.01,-0.506,1.547,-108.826,7.507,48.34
-0.042,-0.438,1.539,-110.962,15.625,51.147
-0.065,-0.371,1.472,-106.384,26.184,54.016
-0.084,-0.349,1.386,-96.741,36.621,57.007
-0.094,-0.315,1.286,-85.144,48.401,61.035
-0.098,-0.255,1.163,-72.083,59.631,65.186
-0.082,-0.228,1.042,-61.462,68.848,69.58
-0.055,-0.242,0.988,-55.908,76.416,73.669
-0.028,-0.258,0.945,-52.185,83.13,78.552
0.008,-0.25,0.916,-51.147,87.708,82.886
0.041,-0.245,0.918,-54.321,89.844,85.205
0.062,-0.238,0.887,-59.753,89.355,85.876
0.076,-0.21,0.841,-65.491,86.426,86.365
0.083,-0.158,0.789,-70.557,81.604,87.646
0.089,-0.099,0.74,-76.599,75.684,88.989
0.063,-0.016,0.692,-83.374,68.726,88.623
0.045,0.068,0.68,-88.318,62.134,87.341
0.047,0.127,0.672,-89.478,55.725,85.876
0.034,0.165,0.664,-84.045,49.011,85.51
0.032,0.168,0.678,-76.66,42.969,85.754
0.04,0.172,0.692,-70.007,39.612,85.632
0.067,0.186,0.703,-64.331,37.964,84.229
0.07,0.221,0.706,-60.791,36.499,82.275
0.056,0.264,0.703,-58.899,34.485,79.407
0.059,0.312,0.678,-57.678,31.982,76.294
0.062,0.341,0.662,-57.922,29.541,73.059
0.056,0.38,0.646,-58.167,26.978,69.031
0.038,0.426,0.656,-56.824,23.132,63.232
0.069,0.424,0.635,-50.537,21.301,61.89
0.091,0.403,0.64,-46.509,18.25,59.265
0.084,0.412,0.65,-45.41,14.16,55.481
0.095,0.417,0.664,-42.603,11.047,52.124
0.091,0.4,0.687,-40.222,8.911,48.523
0.1,0.408,0.694,-38.33,7.08,44.861
0.118,0.422,0.715,-36.743,3.906,41.321
0.109,0.428,0.728,-33.936,0.977,37.292
0.098,0.437,0.727,-29.114,-0.122,33.386
0.097,0.458,0.703,-23.865,0.366,29.419
0.125,0.428,0.707,-19.226,0.793,26.672
0.14,0.384,0.704,-15.625,0.549,25.269
0.134,0.37,0.703,-14.832,-2.014,22.522
0.136,0.387,0.704,-18.25,-4.578,19.775
0.131,0.452,0.703,-20.874,-7.568,18.005
0.122,0.481,0.72,-20.63,-11.047,14.832
0.1,0.474,0.747,-17.639,-12.817,11.536
0.1,0.465,0.765,-11.475,-11.78,8.789
0.122,0.452,0.79,-5.676,-10.315,6.47
0.12,0.434,0.802,-0.61,-9.949,2.991
0.132,0.365,0.808,2.93,-9.888,0.549
0.156,0.324,0.794,4.395,-9.399,0.793
0.167,0.305,0.825,4.089,-10.01,1.404
0.158,0.266,0.872,2.441,-10.071,2.319
0.161,0.28,0.906,2.502,-8.484,4.456
0.174,0.276,0.96,3.174,-6.104,5.981
0.181,0.267,1.006,3.967,-2.747,7.629
0.19,0.271,1.035,4.456,0.427,8.667
0.197,0.291,1.045,4.944,3.113,9.399
0.197,0.272,1.043,4.761,5.737,10.071
0.229,0.189,1.023,-0.793,8.179,11.292
0.254,0.219,1.006,-9.949,8.667,13.855
0.227,0.302,1.003,-16.235,7.019,15.015
0.187,0.34,0.99,-16.113,5.981,14.038
0.171,0.365,0.937,-11.292,6.531,13.062
0.157,0.448,0.881,-3.845,7.263,12.512
0.128,0.482,0.861,3.418,7.69,12.146
0.116,0.468,0.862,9.399,8.545,11.963
0.127,0.411,0.89,13.672,10.559,11.78
0.146,0.347,0.937,13.123,12.573,12.451
0.172,0.313,0.967,8.301,13.489,14.648
0.173,0.296,0.975,1.465,11.658,15.808
0.157,0.339,0.932,-6.592,6.897,15.381
0.138,0.377,0.88,-15.93,0.549,13.489
0.145,0.4,0.889,-17.639,-3.052,12.634
0.149,0.39,0.902,-11.719,-3.113,12.146
0.136,0.344,0.902,-3.54,-2.441,10.742
0.136,0.342,0.87,1.282,-2.319,9.888
0.136,0.341,0.875,1.892,-3.723,8.606
0.119,0.326,0.907,0.488,-5.066,7.446
0.119,0.302,0.933,-0.671,-4.15,7.08
0.13,0.281,0.95,-1.404,-2.197,7.568
0.13,0.284,0.963,-2.014,-1.221,8.362
0.119,0.302,0.974,-2.808,-1.099,8.362
0.114,0.322,0.971,-3.54,-0.916,7.935
0.119,0.343,0.954,-3.418,-0.305,7.263
0.126,0.354,0.925,-2.93,0,5.981
0.118,0.398,0.904,-0.916,-0.61,3.967
0.107,0.393,0.905,2.258,-0.488,1.526
0.115,0.34,0.915,2.563,0.549,-0.305
0.133,0.318,0.916,-0.488,1.892,0.183
0.145,0.324,0.899,-4.822,2.014,1.221
0.146,0.356,0.887,-8.484,0.305,1.16
0.147,0.358,0.888,-8.423,-0.671,0.854
0.158,0.338,0.89,-5.798,-0.122,0.732
0.169,0.338,0.892,-3.906,-0.183,0.854
0.176,0.338,0.9,-3.54,-1.16,0.977
0.179,0.338,0.894,-2.563,-2.136,0.549
0.17,0.339,0.895,-1.343,-3.662,0
0.155,0.323,0.904,-1.221,-3.54,0.488
0.148,0.329,0.917,-1.587,-2.625,1.221
0.147,0.341,0.925,-2.075,-1.953,2.136
0.145,0.341,0.926,-0.854,-1.221,1.953
0.142,0.338,0.903,2.197,-0.732,1.221
0.14,0.332,0.898,4.15,-0.122,1.038
0.146,0.326,0.911,4.028,0.427,1.221
0.147,0.321,0.921,2.686,0.305,1.16
0.144,0.339,0.919,1.343,-0.244,1.038
0.144,0.335,0.918,0.549,-0.427,0.916
0.15,0.324,0.919,0,-0.122,1.16
0.151,0.331,0.918,-0.793,0.305,1.465
0.147,0.339,0.916,-1.465,0.671,1.221
0.148,0.342,0.908,-1.221,0.488,0.61
0.143,0.353,0.903,-1.16,0.061,-0.183
0.143,0.351,0.904,-1.953,0.183,-0.488
0.147,0.344,0.901,-2.686,0.61,-0.488
0.156,0.342,0.901,-3.54,0.793,-0.366
0.155,0.347,0.896,-2.563,0.61,-0.183
0.103,-0.524,1.514,44.312,40.955,28.992
0.141,-0.546,1.495,41.565,56.152,33.997
0.175,-0.56,1.467,31.494,66.223,38.513
0.209,-0.613,1.422,17.029,71.106,43.762
0.229,-0.657,1.361,-1.587,70.801,49.805
0.249,-0.633,1.279,-22.827,66.589,57.129
0.239,-0.577,1.215,-45.41,59.509,64.392
0.237,-0.535,1.172,-66.956,52.307,73.73
0.236,-0.494,1.122,-87.524,43.945,79.712
0.214,-0.41,1.071,-106.384,36.072,82.886
0.197,-0.32,1.019,-121.155,30.151,83.679
0.171,-0.232,0.973,-130.676,26.489,84.778
0.148,-0.166,0.945,-135.498,24.841,85.999
0.147,-0.131,0.909,-135.742,25.146,87.402
0.154,-0.114,0.862,-132.019,25.269,88.562
0.143,-0.073,0.827,-128.052,24.353,88.867
0.142,-0.019,0.802,-124.878,23.743,88.135
0.151,0.006,0.783,-120.728,23.01,86.914
0.154,0.007,0.754,-116.089,22.766,85.815
0.155,0.045,0.726,-110.168,22.095,85.693
0.155,0.112,0.696,-104.736,19.714,84.167
0.149,0.18,0.662,-98.999,16.541,81.604
0.129,0.185,0.658,-93.079,12.756,79.712
0.115,0.17,0.661,-88.379,10.742,80.2
0.116,0.181,0.691,-83.557,10.01,80.566
0.123,0.202,0.721,-79.102,10.193,79.956
0.118,0.218,0.727,-72.021,11.108,77.82
0.119,0.219,0.738,-65.002,12.329,75.562
0.128,0.226,0.712,-58.716,13.855,75.745
0.146,0.21,0.696,-51.453,14.282,75.684
0.146,0.184,0.688,-47.974,13.977,74.951
0.141,0.207,0.677,-45.898,12.573,73.73
0.143,0.232,0.688,-45.288,10.437,71.777
0.145,0.247,0.7,-45.532,8.911,70.251
0.134,0.255,0.72,-46.631,7.996,68.787
0.116,0.281,0.745,-48.157,7.751,67.322
0.108,0.313,0.767,-48.95,8.667,65.674
0.106,0.321,0.778,-47.485,10.742,64.026
0.118,0.325,0.777,-46.021,13.672,62.073
0.138,0.336,0.771,-44.006,16.174,59.998
0.143,0.358,0.763,-41.931,17.517,56.641
0.134,0.389,0.753,-38.757,18.127,53.589
0.134,0.417,0.741,-35.461,18.127,51.147
0.142,0.426,0.739,-32.227,17.639,49.194
0.149,0.43,0.724,-29.114,15.991,48.218
0.143,0.443,0.701,-26.611,13.916,45.776
0.124,0.509,0.657,-21.79,11.658,42.664
0.105,0.535,0.652,-15.625,9.888,39.917
0.111,0.499,0.686,-12.207,10.193,38.452
0.133,0.447,0.717,-9.766,11.475,37.659
0.15,0.422,0.767,-9.888,11.719,36.621
0.138,0.446,0.809,-11.23,11.047,35.583
0.121,0.471,0.847,-12.146,9.216,32.959
0.088,0.496,0.87,-13.245,7.385,28.87
0.058,0.53,0.859,-13.428,6.165,24.109
0.056,0.56,0.836,-13.367,5.493,19.592
0.061,0.602,0.796,-10.071,4.578,14.587
0.06,0.617,0.764,-4.761,3.052,9.338
0.067,0.621,0.742,1.953,2.319,5.249
0.093,0.567,0.75,8.85,2.686,1.709
0.121,0.475,0.793,12.817,3.418,-0.671
0.159,0.403,0.84,12.085,3.479,-2.014
0.181,0.388,0.873,7.263,1.831,-2.625
0.189,0.376,0.891,2.075,-0.549,-3.113
0.193,0.368,0.896,-2.93,-2.563,-2.991
0.192,0.379,0.88,-6.409,-3.784,-2.686
0.203,0.37,0.873,-8.301,-4.272,-2.258
0.206,0.363,0.88,-8.972,-3.967,-1.465
0.209,0.364,0.885,-9.094,-2.93,-0.671
0.209,0.37,0.884,-8.057,-2.686,-0.122
0.202,0.373,0.883,-6.592,-2.563,0.366
0.202,0.382,0.888,-5.554,-1.343,0.61
0.205,0.396,0.888,-4.517,-0.549,1.038
0.19,0.4,0.893,-3.235,-0.305,1.221
0.184,0.412,0.898,-2.014,0.488,1.648
0.191,0.422,0.891,-0.61,1.892,1.77
0.191,0.432,0.874,1.16,2.808,1.465
0.191,0.459,0.852,3.052,2.686,1.526
0.184,0.444,0.854,5.615,2.319,1.282
0.188,0.415,0.866,6.897,2.625,1.16
0.192,0.411,0.881,7.324,2.747,1.404
0.195,0.415,0.888,6.714,2.93,1.77
0.196,0.416,0.883,6.836,2.991,1.953
0.197,0.406,0.883,5.676,2.686,1.648
0.202,0.406,0.887,2.808,2.014,1.831
0.208,0.401,0.895,-0.305,1.099,1.953
0.205,0.409,0.895,-2.747,0.366,2.136
0.2,0.432,0.885,-3.662,-0.671,2.38
0.191,0.443,0.866,-3.113,-1.343,2.38
0.183,0.441,0.849,-1.709,-1.709,2.319
0.184,0.431,0.859,-1.526,-1.587,2.136
0.185,0.421,0.882,-1.648,-1.16,1.892
0.184,0.417,0.898,-1.526,-0.671,1.587
0.191,0.414,0.889,-0.549,-0.427,1.282
0.198,0.412,0.874,0.244,-0.305,0.732
0.199,0.41,0.864,0.305,-0.366,0.305
0.201,0.404,0.868,-0.183,-0.671,0.061
0.197,0.399,0.873,-0.671,-0.854,0.061
0.194,0.404,0.865,-0.488,-0.549,0.305
0.191,0.41,0.858,-0.122,-0.061,0.366
0.197,0.403,0.848,0.793,0.549,0.061
0.19,0.404,0.841,1.892,0.366,0
0.184,0.4,0.842,1.953,0.061,0
0.189,0.392,0.855,0.916,0.305,0.122
0.189,0.385,0.863,0.305,0.671,0.366
0.191,0.388,0.872,0.366,1.16,1.038
0.197,0.396,0.877,0.732,1.831,1.465
0.199,0.392,0.879,1.282,2.197,1.038
0.199,0.384,0.874,1.099,2.258,0.488
0.197,0.391,0.866,0.671,1.892,0.183
0.196,0.401,0.857,-0.244,1.953,0.061
0.199,0.404,0.851,-0.549,2.014,-0.305
0.201,0.411,0.845,-0.732,1.831,-0.305
0.2,0.417,0.844,-0.854,1.465,-0.122
0.193,0.432,0.852,0.183,1.526,-0.061
0.189,0.434,0.862,1.526,1.587,-0.244
0.201,0.416,0.879,2.563,2.502,-0.183
0.209,0.405,0.891,3.174,3.235,-0.122
0.215,0.413,0.898,2.808,3.357,-0.122
0.137,-0.64,1.594,-58.655,4.272,19.287
0.105,-0.6,1.729,-79.346,3.906,26.855
0.07,-0.511,1.832,-91.064,8.972,32.227
0.065,-0.515,1.88,-91.858,40.039,47.791
0.116,-0.539,1.841,-84.656,58.899,57.556
0.131,-0.523,1.768,-76.111,77.637,63.965
0.13,-0.517,1.696,-70.557,94.91,68.909
0.143,-0.538,1.58,-69.214,110.779,74.524
0.144,-0.518,1.45,-74.402,121.948,78.491
0.13,-0.429,1.292,-83.984,128.052,82.764
0.098,-0.321,1.147,-93.506,130.737,88.44
0.083,-0.22,1.01,-99.304,130.981,94.421
0.079,-0.129,0.884,-100.708,128.479,100.586
0.076,-0.07,0.767,-99.792,122.864,105.286
0.075,-0.021,0.674,-98.755,115.295,108.643
0.068,0.044,0.584,-97.046,106.14,110.352
0.05,0.107,0.537,-94.543,95.703,110.168
0.036,0.117,0.52,-93.75,86.304,108.582
0.033,0.126,0.507,-96.497,78.186,106.628
0.041,0.173,0.494,-98.755,70.374,104.065
0.037,0.196,0.479,-101.013,62.012,99.609
0.013,0.253,0.469,-104.492,54.26,95.215
0.001,0.333,0.461,-106.079,47.18,92.224
-0.005,0.365,0.459,-104.187,41.321,89.355
-0.016,0.394,0.451,-98.633,36.865,86.304
-0.017,0.43,0.458,-91.125,32.959,82.397
-0.026,0.455,0.458,-80.994,29.785,76.965
-0.022,0.496,0.452,-67.749,27.466,71.228
0.003,0.506,0.444,-55.298,26.184,65.491
0.041,0.475,0.438,-45.41,24.658,59.448
0.077,0.448,0.453,-39.368,21.24,53.589
0.087,0.47,0.478,-34.973,17.395,49.133
0.092,0.495,0.518,-31.677,13.794,43.823
0.12,0.502,0.579,-29.297,11.169,39.795
0.151,0.495,0.608,-24.475,8.057,38.513
0.16,0.498,0.626,-17.456,6.409,35.828
0.194,0.472,0.646,-12.451,6.042,32.41
0.223,0.433,0.676,-9.766,5.676,30.273
0.242,0.413,0.714,-10.315,4.272,28.076
0.268,0.395,0.753,-15.991,2.502,27.039
0.276,0.41,0.775,-24.17,-0.488,26.184
