aX,aY,aZ,gX,gY,gZ
0.051,-0.843,1.162,281.982,97.595,54.626
0.12,-0.825,1.06,274.17,100.281,62.439
0.158,-0.832,0.965,267.578,98.328,69.763
0.152,-0.896,0.885,265.625,92.407,78.186
0.172,-0.937,0.811,264.587,88.928,86.914
0.199,-1.007,0.754,268.188,85.632,95.825
0.232,-0.961,0.646,272.156,82.947,105.713
0.267,-0.956,0.594,278.32,74.28,113.098
0.31,-0.956,0.53,283.508,63.904,120.117
0.342,-0.967,0.463,282.227,51.392,126.16
0.371,-1.006,0.393,272.766,37.659,130.859
0.394,-1.02,0.341,255.127,24.17,133.789
0.398,-1.013,0.291,231.079,11.353,135.132
0.403,-1.008,0.268,203.491,0.732,135.132
0.432,-0.957,0.287,176.636,-9.766,134.644
0.427,-0.879,0.265,155.273,-26.489,137.512
0.371,-0.841,0.252,137.451,-40.588,137.939
0.385,-0.75,0.239,120.422,-47.424,134.399
0.388,-0.655,0.239,108.765,-57.556,132.263
0.349,-0.547,0.267,98.267,-67.261,126.16
0.327,-0.475,0.296,91.003,-74.158,118.164
0.319,-0.439,0.322,88.562,-78.308,109.863
0.318,-0.439,0.332,86.304,-80.811,100.83
0.323,-0.479,0.325,82.092,-82.397,91.492
0.309,-0.533,0.33,75.256,-83.435,83.496
0.303,-0.567,0.358,66.04,-83.252,76.721
0.284,-0.577,0.386,57.007,-82.703,70.435
0.254,-0.531,0.433,48.706,-81.726,63.843
0.24,-0.488,0.462,41.016,-78.918,57.129
0.226,-0.445,0.488,37.964,-75.439,49.683
0.224,-0.444,0.486,39.063,-71.472,42.48
0.218,-0.485,0.455,41.565,-67.383,36.621
0.219,-0.492,0.436,43.152,-63.171,31.433
0.217,-0.559,0.427,41.748,-57.8,25.33
0.256,-0.575,0.387,35.645,-54.077,17.639
0.27,-0.609,0.374,29.358,-50.293,16.541
0.256,-0.554,0.395,23.804,-47.974,14.221
0.238,-0.485,0.479,20.752,-43.396,9.827
0.211,-0.426,0.531,22.583,-37.415,3.601
0.228,-0.416,0.552,26.917,-29.785,-2.38
0.271,-0.497,0.544,31.311,-21.79,-7.507
0.289,-0.619,0.518,33.508,-15.503,-10.437
0.309,-0.744,0.472,28.381,-10.498,-12.024
0.346,-0.795,0.423,17.151,-6.653,-13.123
0.376,-0.821,0.369,7.263,-4.089,-13.916
0.392,-0.802,0.349,2.991,-2.686,-13.733
0.397,-0.796,0.338,5.249,-2.075,-13.855
0.401,-0.83,0.324,11.963,-2.502,-12.695
0.412,-0.847,0.351,19.104,-3.296,-10.864
0.392,-0.9,0.327,24.597,-4.761,-9.094
0.408,-0.956,0.295,24.17,-6.042,-6.592
0.427,-0.992,0.285,22.156,-5.737,-2.869
0.437,-1.068,0.269,17.578,-6.226,0.916
0.444,-1.085,0.29,6.836,-6.958,4.822
0.451,-1.052,0.325,-6.653,-7.08,7.507
0.459,-0.975,0.351,-14.709,-7.751,10.803
0.458,-0.932,0.38,-18.372,-8.118,14.038
0.464,-0.897,0.394,-19.653,-7.446,14.832
0.466,-0.842,0.392,-19.592,-6.897,15.137
0.473,-0.804,0.369,-18.738,-5.798,14.832
0.472,-0.804,0.381,-18.188,-5.615,13.794
0.468,-0.817,0.438,-18.127,-6.042,13
0.432,-0.839,0.502,-17.944,-6.653,11.719
0.405,-0.849,0.554,-17.029,-5.798,10.803
0.385,-0.868,0.57,-14.465,-3.235,9.949
0.387,-0.855,0.578,-11.658,0.427,9.277
0.397,-0.839,0.587,-10.62,3.601,7.141
0.396,-0.825,0.571,-9.949,5.859,4.15
0.396,-0.847,0.529,-9.888,7.263,1.465
0.402,-0.833,0.467,-11.475,9.033,-0.488
0.401,-0.819,0.406,-13.489,10.315,-2.502
0.396,-0.814,0.362,-13.977,10.681,-3.479
0.406,-0.829,0.328,-14.709,10.437,-4.761
0.431,-0.833,0.31,-14.404,9.583,-5.859
0.44,-0.832,0.308,-12.939,8.362,-6.897
0.443,-0.837,0.333,-10.559,6.775,-7.751
0.436,-0.854,0.358,-8.85,6.104,-8.545
0.428,-0.899,0.372,-8.972,5.31,-8.667
0.429,-0.933,0.383,-12.817,4.7,-7.935
0.431,-0.929,0.39,-18.738,4.333,-6.958
0.437,-0.913,0.392,-23.071,3.479,-5.371
0.462,-0.877,0.395,-24.841,2.075,-3.662
0.437,-0.825,0.377,-24.475,-0.305,-2.563
0.417,-0.782,0.363,-22.339,-1.648,-2.136
0.433,-0.754,0.36,-19.653,-0.122,-2.319
0.459,-0.744,0.375,-15.198,0.977,-2.197
0.459,-0.762,0.396,-9.216,1.038,-1.526
0.453,-0.798,0.419,-3.845,1.038,-1.038
0.452,-0.823,0.429,-2.075,1.221,-0.366
0.459,-0.836,0.433,-2.808,1.953,0.122
0.46,-0.834,0.432,-3.906,1.953,0.732
0.454,-0.829,0.425,-4.211,1.709,1.465
0.45,-0.817,0.413,-3.845,1.404,2.258
0.453,-0.801,0.398,-3.418,1.221,2.625
0.446,-0.774,0.403,-2.014,0.488,2.869
0.43,-0.761,0.401,-0.61,-0.549,2.563
0.43,-0.785,0.39,0.427,-1.282,1.831
0.441,-0.821,0.396,0.061,-1.343,1.404
0.439,-0.834,0.414,-1.343,-2.075,2.075
0.432,-0.823,0.433,-3.052,-2.747,2.441
0.432,-0.815,0.444,-3.418,-2.93,2.441
0.433,-0.819,0.447,-2.808,-2.93,2.808
0.44,-0.82,0.449,-2.136,-2.808,2.747
0.443,-0.818,0.44,-2.563,-3.052,2.441
0.452,-0.806,0.437,-2.991,-3.479,2.136
0.436,-0.792,0.441,-3.357,-4.028,1.892
0.42,-0.784,0.435,-4.333,-4.395,1.953
