aX,aY,aZ,gX,gY,gZ
0.243,-0.933,0.732,48.279,-39.429,-19.897
0.219,-0.77,0.685,39.673,-42.603,-19.592
0.181,-0.753,0.651,33.997,-45.41,-18.494
0.176,-0.835,0.651,26.245,-49.133,-13.977
0.121,-0.75,0.705,41.26,-47.058,-9.216
0.115,-0.739,0.759,69.031,-39.307,-3.601
0.133,-0.847,0.778,99.426,-29.785,3.784
0.151,-0.998,0.741,120.605,-21.606,10.681
0.175,-1.103,0.694,124.512,-17.822,14.038
0.217,-1.116,0.647,113.708,-17.822,16.052
0.247,-1.108,0.594,97.839,-18.86,18.25
0.251,-1.104,0.578,82.214,-20.325,21.118
0.25,-1.058,0.579,72.571,-20.996,24.963
0.236,-1.002,0.61,69.214,-20.142,28.503
0.218,-0.978,0.626,72.144,-17.761,32.227
0.221,-0.977,0.636,81.238,-13.672,37.109
0.222,-0.999,0.645,91.003,-9.216,42.297
0.229,-1.007,0.639,98.572,-5.31,47.18
0.24,-1.028,0.622,101.807,-2.014,51.697
0.257,-1.029,0.578,104.187,0.854,56.458
0.271,-1.024,0.54,103.577,3.235,61.34
0.28,-1.013,0.493,103.882,4.7,65.613
0.288,-1,0.443,105.103,5.859,70.007
0.301,-1.02,0.419,103.394,6.042,73.792
0.338,-1.061,0.421,97.351,5.005,76.965
0.356,-1.051,0.42,88.623,2.38,79.529
0.35,-1.033,0.411,79.895,-1.038,81.36
0.342,-0.986,0.418,75.134,-3.296,83.191
0.324,-0.934,0.429,77.209,-3.723,85.327
0.313,-0.909,0.415,83.374,-2.991,87.036
0.337,-0.889,0.375,88.867,-1.648,87.341
0.363,-0.88,0.338,93.445,-1.404,86.487
0.391,-0.909,0.287,94.971,-2.319,84.412
0.419,-0.93,0.259,94.666,-4.15,82.886
0.429,-0.932,0.252,93.994,-6.836,82.153
0.434,-0.935,0.261,91.248,-9.827,81.36
0.418,-0.924,0.304,86.365,-13,79.651
0.396,-0.918,0.329,82.214,-15.503,78.125
0.402,-0.925,0.33,78.308,-16.663,77.393
0.386,-0.878,0.315,74.463,-16.296,76.538
0.371,-0.812,0.27,73.12,-16.113,74.463
0.378,-0.798,0.248,71.167,-16.541,71.228
0.397,-0.822,0.224,65.735,-17.944,68.909
0.415,-0.83,0.194,56.274,-20.325,67.017
0.432,-0.808,0.195,44.739,-22.461,64.209
0.413,-0.762,0.188,37.598,-23.987,61.462
0.427,-0.772,0.195,33.875,-24.78,58.289
0.433,-0.762,0.205,30.334,-25.879,54.565
0.417,-0.755,0.219,27.344,-26.978,51.147
0.425,-0.75,0.233,23.865,-27.466,47.668
0.427,-0.732,0.243,20.081,-27.344,44.067
0.409,-0.721,0.253,16.785,-27.039,40.466
0.407,-0.71,0.252,13.611,-26.672,37.292
0.403,-0.702,0.248,12.39,-26.062,33.875
0.39,-0.673,0.235,14.16,-25.269,30.823
0.402,-0.678,0.24,17.334,-24.353,27.588
0.39,-0.692,0.234,19.714,-23.437,24.78
0.391,-0.711,0.2,21.667,-22.888,22.583
0.412,-0.744,0.182,21.545,-21.118,20.996
0.412,-0.752,0.186,19.287,-19.531,19.897
0.423,-0.757,0.194,17.151,-18.188,18.677
0.446,-0.772,0.193,14.587,-16.296,17.151
0.461,-0.766,0.201,12.451,-14.465,15.869
0.476,-0.771,0.199,12.146,-12.878,14.465
0.485,-0.771,0.2,10.193,-11.719,12.756
0.478,-0.772,0.206,6.042,-10.803,11.475
0.504,-0.773,0.203,1.343,-9.705,10.498
0.514,-0.777,0.198,-4.15,-9.949,9.277
0.525,-0.783,0.183,-11.047,-9.949,8.118
0.552,-0.766,0.193,-19.287,-10.315,7.202
0.551,-0.689,0.214,-22.278,-10.925,5.859
0.525,-0.695,0.239,-16.357,-10.254,3.296
0.533,-0.723,0.259,-7.08,-7.385,1.099
0.533,-0.773,0.255,2.136,-4.822,-0.427
0.537,-0.822,0.243,8.301,-2.686,-1.038
0.541,-0.846,0.236,10.437,-1.16,-1.038
0.543,-0.868,0.224,9.705,-0.366,-1.16
0.543,-0.873,0.219,6.348,-0.244,-0.916
0.544,-0.87,0.225,1.831,-0.671,-0.305
0.547,-0.856,0.225,-2.075,-1.038,0
0.556,-0.83,0.214,-3.418,-0.916,0.061
0.56,-0.825,0.197,-0.427,-0.854,-0.061
0.559,-0.839,0.185,3.357,-0.671,-0.61
0.562,-0.858,0.177,5.554,-0.916,-0.61
0.561,-0.877,0.173,6.714,-1.099,-0.305
0.558,-0.875,0.174,5.859,-1.648,0.122
0.563,-0.873,0.169,3.967,-2.197,0.61
0.57,-0.868,0.162,1.587,-2.502,0.977
0.568,-0.857,0.172,-1.16,-3.052,1.465
0.565,-0.841,0.185,-3.052,-3.906,2.075
0.561,-0.825,0.204,-3.052,-4.395,2.258
0.56,-0.817,0.216,-1.77,-4.272,2.075
0.559,-0.825,0.219,-0.549,-3.967,1.648
0.56,-0.839,0.221,-0.61,-3.479,1.221
0.561,-0.831,0.232,-1.465,-3.296,0.793
0.558,-0.832,0.232,-0.549,-3.113,0.671
0.544,-0.835,0.219,1.709,-2.747,0.916
0.549,-0.838,0.204,3.357,-2.319,0.977
0.551,-0.844,0.177,3.906,-1.953,1.587
0.549,-0.851,0.161,2.502,-1.16,2.441
0.55,-0.857,0.169,0.061,-0.366,3.174
0.55,-0.859,0.186,-1.953,-0.549,3.845
0.547,-0.847,0.196,-2.869,-1.038,4.15
0.546,-0.837,0.208,-3.113,-1.282,4.517
0.548,-0.834,0.219,-2.319,-1.099,4.883
0.556,-0.841,0.218,-2.075,-0.854,4.944
0.565,-0.828,0.211,-2.258,-0.732,4.944
0.574,-0.811,0.184,-1.77,-0.671,3.723
0.568,-0.811,0.174,-1.221,-0.977,3.052
0.568,-0.803,0.161,-0.366,-1.343,2.93
0.564,-0.798,0.165,-0.427,-1.709,2.869
0.56,-0.791,0.168,-0.427,-1.77,2.686
0.562,-0.812,0.177,0.427,-1.77,2.136
0.569,-0.824,0.189,0,-2.258,1.526
0.578,-0.833,0.201,-1.221,-2.625,1.282
0.582,-0.831,0.216,-2.075,-3.113,1.099
0.585,-0.825,0.234,-2.38,-3.357,0.977
0.579,-0.818,0.243,-2.319,-3.357,0.427
0.566,-0.805,0.246,-1.709,-3.174,-0.183
0.205,-1.155,0.631,139.709,24.78,69.641
0.236,-1.153,0.561,143.738,27.71,75.745
0.265,-1.133,0.548,143.066,28.687,81.787
0.282,-1.094,0.529,142.395,28.442,86.426
0.291,-1.062,0.499,142.09,27.222,90.271
0.305,-1.058,0.461,140.808,25.269,93.445
0.333,-1.075,0.422,136.902,21.851,95.52
0.357,-1.058,0.377,130.249,17.151,97.534
0.36,-1.024,0.35,121.643,11.047,99.121
0.359,-0.993,0.346,112.488,4.7,99.487
0.36,-0.965,0.336,103.699,-1.16,98.45
0.354,-0.921,0.313,99.121,-5.127,97.595
0.352,-0.907,0.31,98.267,-7.69,97.168
0.361,-0.922,0.299,95.52,-10.864,95.276
0.368,-0.925,0.283,89.417,-15.015,92.773
0.368,-0.899,0.273,80.75,-19.348,91.431
0.362,-0.846,0.283,72.266,-23.499,89.6
0.358,-0.809,0.258,69.885,-26.611,86.914
0.35,-0.816,0.259,67.627,-29.053,83.74
0.349,-0.82,0.253,62.256,-31.433,80.505
0.362,-0.813,0.236,54.138,-33.936,77.209
0.348,-0.79,0.254,45.41,-36.682,73.914
0.327,-0.773,0.278,40.039,-38.391,70.313
0.335,-0.775,0.292,36.682,-38.635,67.261
0.316,-0.756,0.292,34.18,-38.391,63.904
0.318,-0.744,0.275,33.203,-37.903,61.035
0.33,-0.739,0.265,30.64,-37.17,58.411
0.337,-0.729,0.258,26.428,-36.316,55.664
0.351,-0.734,0.251,21.973,-35.4,52.917
0.37,-0.736,0.238,18.188,-34.546,49.988
0.374,-0.728,0.249,15.32,-33.752,46.875
0.375,-0.703,0.262,13.123,-33.081,43.457
0.378,-0.699,0.262,12.146,-31.86,40.161
0.385,-0.707,0.266,11.719,-30.457,37.292
0.392,-0.704,0.265,9.766,-28.87,34.424
0.403,-0.699,0.267,6.714,-27.1,31.677
0.418,-0.701,0.271,4.883,-25.33,28.931
0.432,-0.7,0.263,3.296,-23.743,25.94
0.448,-0.697,0.264,1.953,-22.522,22.827
0.463,-0.7,0.271,2.136,-21.79,19.653
0.466,-0.71,0.269,3.418,-20.386,16.113
0.466,-0.732,0.281,4.211,-18.616,13.55
0.474,-0.754,0.3,4.639,-16.907,11.414
0.482,-0.77,0.314,4.395,-15.015,9.46
0.481,-0.762,0.33,4.456,-13,7.874
0.48,-0.776,0.335,7.202,-10.803,6.531
0.482,-0.772,0.322,9.521,-8.545,4.944
0.489,-0.766,0.28,12.146,-6.287,4.15
0.501,-0.774,0.264,13.672,-4.395,3.601
0.496,-0.77,0.262,14.038,-2.869,3.235
0.53,-0.801,0.258,14.465,-1.648,3.967
0.532,-0.814,0.268,12.817,-1.343,1.892
0.533,-0.835,0.271,10.193,-1.16,0.793
0.542,-0.853,0.267,6.104,-1.16,0.916
0.53,-0.819,0.276,0.488,-1.465,0
0.525,-0.809,0.29,-3.052,-1.953,-0.61
0.519,-0.809,0.294,-2.808,-1.709,-0.977
0.514,-0.82,0.29,0.244,-0.549,-1.16
0.51,-0.818,0.269,3.54,0.427,-0.977
0.513,-0.835,0.243,7.812,1.465,-0.488
0.506,-0.861,0.227,9.705,2.625,0
0.521,-0.876,0.217,7.996,3.479,1.587
0.536,-0.895,0.213,3.967,3.174,2.38
0.53,-0.881,0.222,-1.16,2.319,1.953
0.527,-0.863,0.235,-3.906,1.404,1.953
0.524,-0.853,0.24,-4.211,0.977,2.136
0.519,-0.841,0.24,-3.601,0.549,2.258
0.516,-0.821,0.244,-2.319,0.122,2.625
0.518,-0.816,0.223,0.61,0,2.441
0.523,-0.831,0.197,3.54,0.366,2.441
0.53,-0.843,0.184,3.601,0.549,2.502
0.532,-0.851,0.194,2.319,0.305,2.625
0.527,-0.848,0.209,1.099,-0.244,2.563
0.524,-0.839,0.222,0.122,-0.916,2.441
