aX,aY,aZ,gX,gY,gZ
0.966,0.689,-0.042,-7.202,-12.817,-198.425
1.019,0.578,-0.042,-1.282,-16.724,-186.951
1.083,0.495,-0.051,6.287,-19.104,-177.002
1.134,0.452,-0.055,13.611,-17.7,-167.847
1.153,0.411,-0.036,19.165,-12.817,-154.602
1.158,0.378,-0.015,22.522,-7.202,-135.803
1.146,0.302,0.008,25.696,-2.502,-112.244
1.114,0.221,0.049,25.024,-0.061,-90.576
1.1,0.164,0.045,19.836,-0.366,-72.266
1.107,0.14,0.014,15.015,-1.16,-54.688
1.1,0.093,0.008,9.583,0.61,-37.903
1.075,0.043,-0.001,5.371,2.319,-23.743
1.036,-0.014,-0.02,1.831,4.333,-14.282
1.001,-0.064,-0.024,-0.061,7.446,-11.23
1.05,0.174,-0.015,-0.977,10.986,-12.756
0.985,0.062,-0.027,-5.188,12.146,0.549
0.949,0.053,-0.032,-5.859,11.536,5.493
0.908,0.048,-0.037,-4.395,11.414,5.92
0.895,0.072,-0.037,-4.028,11.902,3.784
0.901,0.091,-0.036,-2.502,11.841,2.808
0.899,0.074,-0.02,-0.427,10.864,3.296
0.899,0.069,-0.016,1.77,7.751,2.563
0.91,0.083,-0.029,2.93,3.967,0.61
0.931,0.098,-0.038,3.418,1.953,0.366
0.936,0.122,-0.033,3.479,2.014,0.671
0.94,0.144,-0.028,2.625,2.197,0.549
0.953,0.163,-0.027,1.526,2.258,1.221
0.968,0.177,-0.026,0.488,2.136,2.38
0.98,0.184,-0.024,-0.549,1.587,3.601
0.985,0.181,-0.016,-1.282,1.282,5.188
0.995,0.176,-0.015,-1.709,0.305,6.287
1.008,0.174,-0.017,-1.831,-1.099,6.714
1.026,0.169,-0.021,-1.648,-2.197,7.08
1.037,0.166,-0.025,-1.16,-2.93,7.141
1.046,0.16,-0.025,-0.305,-3.174,7.263
1.047,0.156,-0.021,0.732,-3.235,7.324
1.031,0.166,-0.02,1.404,-3.052,6.897
1.018,0.174,-0.021,1.526,-2.625,5.859
1.012,0.177,-0.019,1.404,-2.258,4.822
1.006,0.183,-0.017,1.465,-1.648,3.662
1,0.189,-0.015,1.343,-1.404,2.869
0.997,0.188,-0.016,1.16,-1.526,2.869
0.994,0.186,-0.017,0.977,-1.77,3.235
0.991,0.186,-0.022,0.732,-1.892,3.662
0.998,0.182,-0.027,0.305,-1.648,4.028
1,0.179,-0.029,-0.244,-0.854,4.211
0.996,0.175,-0.03,-0.732,0,4.211
0.997,0.17,-0.031,-1.099,0.793,4.15
1,0.167,-0.031,-1.16,1.465,3.54
0.996,0.166,-0.031,-1.282,1.953,2.747
0.994,0.161,-0.029,-1.282,2.319,1.77
0.99,0.156,-0.027,-0.977,2.441,1.16
0.992,0.156,-0.028,-0.977,2.441,0.977
0.998,0.164,-0.031,-0.732,2.014,0.427
0.998,0.172,-0.032,-0.732,1.648,0.305
0.991,0.174,-0.031,-0.549,1.221,0.854
0.992,0.173,-0.027,-0.244,0.671,1.77
0.978,0.172,-0.028,-0.122,0.061,2.625
0.977,0.166,-0.028,0.366,-0.61,3.662
0.981,0.16,-0.03,0.427,-0.549,4.211
0.984,0.16,-0.033,0.488,-0.732,4.089
0.986,0.16,-0.036,0.549,-0.732,3.845
0.989,0.162,-0.037,0.671,-0.549,3.357
0.99,0.164,-0.038,0.793,-0.427,2.808
0.985,0.164,-0.037,0.977,-0.122,2.319
0.982,0.161,-0.034,1.16,-0.061,1.892
0.983,0.163,-0.031,1.099,0.061,1.404
0.982,0.164,-0.03,1.404,0.122,1.221
0.986,0.166,-0.027,1.526,-0.061,1.526
0.987,0.171,-0.024,1.404,-0.244,1.953
0.981,0.173,-0.021,1.221,-0.854,2.808
0.98,0.171,-0.021,1.038,-1.526,3.906
0.985,0.17,-0.023,0.488,-2.075,4.7
0.99,0.17,-0.023,-0.122,-2.014,5.066
0.993,0.169,-0.023,-0.427,-1.709,5.249
0.999,0.172,-0.022,-0.854,-1.465,5.066
1,0.174,-0.02,-1.099,-1.221,5.066
1.006,0.176,-0.022,-1.099,-0.793,4.883
1.014,0.178,-0.025,-1.099,-0.488,4.944
1.014,0.181,-0.023,-0.977,-0.183,5.066
1.006,0.183,-0.021,-0.671,0.122,5.31
0.994,0.183,-0.014,-0.366,0.183,5.615
