aX,aY,aZ,gX,gY,gZ
0.099,1.658,0.412,94.116,-36.255,-26.062
0.078,1.196,0.562,127.319,-26.978,-42.603
0.155,0.714,0.749,139.648,-13,-47.668
0.217,0.5,0.919,141.418,-4.578,-50.903
0.232,0.435,0.878,136.108,-1.587,-59.875
0.254,0.392,0.82,123.108,-0.244,-69.153
0.271,0.46,0.783,106.934,1.038,-75.134
0.277,0.413,0.666,97.9,1.099,-79.102
0.31,0.163,0.559,84.106,1.099,-78.613
0.38,0.129,0.455,62.927,-1.709,-71.716
0.382,-0.165,0.445,49.133,-2.075,-59.998
0.363,-0.26,0.394,37.964,5.554,-45.776
0.496,-0.166,0.126,46.631,17.456,-31.311
0.709,-0.321,0.074,44.861,21.118,-19.47
0.831,-0.513,0.245,24.109,7.874,2.747
0.688,-0.602,0.541,-14.465,-5.92,37.72
0.602,-0.356,0.762,-60.425,-9.399,75.256
0.569,-0.048,0.92,-93.262,-5.798,100.403
0.477,0.289,1.002,-109.314,1.282,114.014
0.416,0.445,1.008,-113.77,10.62,122.009
0.372,0.565,0.973,-124.756,21.606,130.737
0.368,0.697,0.82,-132.568,30.457,137.39
0.352,0.782,0.586,-153.809,34.241,137.878
0.326,1.161,0.4,-182.19,33.264,136.597
0.322,1.448,0.259,-178.894,30.334,127.808
0.28,1.447,0.091,-155.701,26.917,114.441
0.23,1.401,0,-136.963,21.362,99.121
0.177,1.565,-0.043,-118.164,15.503,81.848
0.17,1.784,-0.045,-82.153,10.803,59.082
0.145,1.917,-0.007,-34.18,7.751,29.968
0.136,1.928,0.057,14.893,6.226,0.732
0.132,1.753,0.154,55.542,4.517,-24.17
0.133,1.453,0.256,80.139,2.563,-42.969
0.15,1.189,0.383,87.341,0.061,-56.519
0.187,0.974,0.496,83.923,-1.953,-67.322
0.22,0.728,0.613,75.317,-3.296,-74.158
0.237,0.58,0.687,61.523,-3.662,-76.111
0.323,0.435,0.697,44.128,-6.165,-74.524
0.432,0.229,0.735,27.71,-8.362,-67.688
0.456,0.291,0.731,20.203,-10.132,-59.021
0.442,0.432,0.694,29.358,-11.414,-56.458
0.467,0.511,0.665,51.025,-10.376,-54.81
0.497,0.504,0.624,76.782,-7.996,-50.11
0.493,0.394,0.58,95.642,-4.761,-40.588
0.49,0.31,0.565,102.417,-0.366,-28.32
0.498,0.306,0.565,97.961,2.93,-16.785
0.497,0.35,0.555,81.909,4.578,-8.362
0.491,0.377,0.534,56.03,4.089,-2.319
0.486,0.396,0.495,26.123,2.38,4.944
0.462,0.45,0.46,-3.113,0.122,11.658
0.452,0.521,0.432,-29.358,-2.319,17.029
0.447,0.579,0.416,-50.903,-5.127,20.935
0.439,0.644,0.424,-67.81,-7.874,23.682
0.433,0.739,0.443,-75.5,-10.193,25.452
0.421,0.8,0.452,-72.51,-11.353,25.269
0.417,0.845,0.467,-64.514,-11.414,23.865
0.412,0.896,0.483,-52.734,-10.986,21.667
0.405,0.949,0.505,-37.292,-10.132,18.005
0.396,0.998,0.525,-20.508,-8.85,13.062
0.379,1.014,0.534,-4.211,-7.69,7.324
0.378,1.007,0.536,7.935,-6.409,1.648
0.379,0.968,0.532,16.724,-4.7,-3.601
0.377,0.877,0.514,21.179,-4.089,-7.69
0.386,0.803,0.497,20.63,-3.906,-10.681
0.406,0.75,0.489,16.357,-4.333,-12.451
0.412,0.696,0.485,10.498,-4.944,-13.245
0.425,0.665,0.474,5.066,-5.859,-13
0.447,0.651,0.477,2.197,-6.592,-11.414
0.454,0.628,0.484,1.587,-6.958,-9.216
0.463,0.61,0.493,1.831,-6.592,-6.653
0.471,0.606,0.512,2.075,-6.47,-3.662
0.466,0.612,0.532,1.831,-6.531,-1.16
0.459,0.61,0.533,1.953,-6.47,1.465
0.452,0.612,0.536,1.648,-6.042,4.089
0.437,0.638,0.541,0.61,-5.493,6.348
0.422,0.673,0.543,0.305,-4.822,7.812
0.412,0.71,0.543,0.183,-4.15,9.033
0.404,0.742,0.541,-1.465,-3.479,9.644
0.394,0.747,0.542,-4.028,-2.869,9.644
0.381,0.762,0.541,-7.019,-2.258,9.155
0.38,0.786,0.533,-9.033,-1.831,7.996
0.388,0.797,0.523,-9.705,-1.587,6.348
0.395,0.796,0.511,-9.399,-1.16,4.944
0.402,0.794,0.501,-7.996,-0.793,3.418
0.407,0.791,0.498,-5.737,-0.61,2.075
0.404,0.773,0.488,-2.441,-0.244,1.282
