aX,aY,aZ,gX,gY,gZ
-0.377,0.771,1.079,81.665,-44.312,-65.796
-0.24,0.017,1.176,152.893,-6.592,-52.246
0.072,-0.832,1.24,175.171,23.865,-40.71
0.29,-1.084,1.292,139.709,41.077,-40.344
0.345,-0.926,1.307,61.035,35.034,-51.758
0.249,-0.461,1.28,-16.479,16.113,-62.988
0.114,-0.135,1.28,-64.392,-2.563,-67.688
-0.01,-0.05,1.293,-78.613,-12.878,-61.584
-0.084,-0.073,1.257,-70.068,-9.277,-54.871
-0.085,-0.138,1.184,-54.932,3.052,-51.819
-0.093,-0.192,1.098,-43.884,16.602,-45.288
-0.055,-0.206,0.997,-40.527,25.452,-41.504
-0.005,-0.162,0.923,-43.335,24.719,-39.917
-0.065,-0.117,0.891,-39.063,17.7,-36.987
-0.117,-0.229,0.878,-22.583,13.672,-31.311
-0.099,-0.383,0.88,-2.502,16.418,-18.921
-0.029,-0.416,0.898,16.235,23.56,-7.019
0.002,-0.387,0.915,32.288,27.1,0.061
0.01,-0.374,0.921,46.021,29.297,5.005
0.026,-0.355,0.929,56.091,30.579,9.094
0.038,-0.339,0.94,62.012,30.762,11.597
0.041,-0.336,0.945,65.247,30.212,14.343
0.046,-0.339,0.932,65.491,29.541,19.104
0.091,-0.336,0.902,63.599,28.198,24.17
0.112,-0.351,0.877,59.204,21.973,29.297
0.105,-0.363,0.863,52.734,15.686,33.447
0.126,-0.353,0.845,44.495,10.193,35.339
0.138,-0.342,0.826,36.194,3.113,36.743
0.122,-0.319,0.829,25.635,-3.784,36.987
0.108,-0.25,0.844,12.451,-9.399,35.889
0.094,-0.163,0.853,1.709,-14.038,33.875
0.089,-0.132,0.853,-7.324,-17.822,32.043
0.082,-0.138,0.866,-15.991,-21.973,30.762
0.081,-0.128,0.889,-24.841,-25.146,29.236
0.087,-0.113,0.913,-33.63,-27.893,26.733
0.089,-0.122,0.929,-44.25,-31.372,24.597
0.067,-0.094,0.948,-54.932,-35.339,22.461
0.068,-0.09,0.941,-65.125,-37.964,20.447
0.077,-0.085,0.933,-78.186,-41.077,19.47
0.042,0.161,0.651,-86.426,-45.41,17.517
-0.217,0.39,0.934,-83.313,-54.749,8.972
-0.236,0.553,1.074,-52.673,-48.096,-3.052
-0.23,0.387,1.229,-8.362,-22.217,-6.836
-0.077,0.066,1.282,21.423,2.625,-5.981
0.064,-0.095,1.277,33.63,19.409,-3.052
0.172,-0.166,1.205,26.001,26.062,-5.005
0.18,-0.166,1.098,9.399,20.142,-5.31
0.137,-0.084,1.008,-4.883,7.874,-6.897
0.062,0.004,0.952,-9.766,-2.747,-7.019
0.003,0.024,0.931,-5.554,-6.592,-5.676
0.009,-0.006,0.928,3.296,-4.272,-3.235
0.041,-0.055,0.926,13,0.305,-0.854
0.072,-0.101,0.924,18.494,3.357,-0.122
0.086,-0.138,0.926,18.555,3.54,-0.977
0.081,-0.143,0.936,14.832,1.221,-2.136
0.059,-0.133,0.959,10.315,-2.441,-2.869
0.029,-0.123,0.979,6.775,-4.822,-3.296
0.01,-0.112,1.001,5.066,-4.944,-2.625
0.017,-0.098,1.017,3.723,-4.089,-1.221
0.016,-0.098,1.028,2.808,-3.54,-0.488
0.013,-0.108,1.028,1.709,-3.601,0.488
0.012,-0.108,1.024,0.305,-4.089,1.099
0.013,-0.099,1.017,-0.977,-4.272,1.343
0.012,-0.092,1.011,-1.404,-3.662,1.526
0.014,-0.091,1,-1.465,-2.686,1.221
0.011,-0.088,0.986,-1.709,-2.075,0.549
0.009,-0.083,0.98,-1.892,-1.282,-0.122
0.013,-0.085,0.975,-1.892,-0.305,-0.549
0.018,-0.09,0.965,-2.075,0.122,-0.549
0.02,-0.087,0.955,-2.808,-0.122,-0.305
0.024,-0.083,0.946,-3.052,-0.61,-0.244
0.026,-0.083,0.943,-2.563,-1.343,-0.305
0.025,-0.083,0.945,-1.709,-1.953,-0.061
0.024,-0.073,0.953,-0.793,-2.502,-0.122
0.025,-0.068,0.959,0.488,-2.502,-0.488
0.026,-0.077,0.96,1.953,-2.258,-0.488
0.03,-0.085,0.959,2.686,-2.197,-0.488
0.029,-0.092,0.965,2.808,-2.625,-0.549
0.027,-0.096,0.972,1.77,-2.93,-0.61
0.025,-0.092,0.978,0.427,-3.113,-0.427
0.023,-0.086,0.988,-1.099,-3.174,-0.549
0.02,-0.088,1.004,-2.563,-3.052,-0.305
0.014,-0.097,1.013,-3.235,-2.502,0.122
0.014,-0.102,1.014,-2.991,-1.892,0.732
0.015,-0.102,1.008,-2.625,-1.038,0.977
0.017,-0.096,0.997,-2.625,-0.488,1.343
0.016,-0.091,0.989,-2.869,-0.244,1.038
0.016,-0.089,0.983,-3.052,-0.061,0.732
0.015,-0.087,0.979,-2.991,0.183,0.61
0.016,-0.082,0.97,-2.38,0.366,0.244
0.018,-0.078,0.966,-2.075,0.793,0.366
0.02,-0.078,0.963,-1.282,0.793,0.427
0.024,-0.08,0.963,-0.793,0.549,0.305
0.022,-0.076,0.963,-0.122,0.183,0.183
0.019,-0.074,0.962,0.122,-0.183,0.122
0.022,-0.075,0.968,-0.244,0,0
0.027,-0.088,0.981,-1.099,-0.061,0.183
0.025,-0.101,0.99,-2.014,-0.305,0.366
0.023,-0.093,0.993,-2.747,-0.916,0.61
0.02,-0.083,0.992,-3.418,-1.221,1.099
0.021,-0.079,0.994,-3.967,-1.282,1.526
0.023,-0.079,0.996,-4.211,-1.099,1.709
0.025,-0.077,0.997,-4.089,-0.793,1.892
0.025,-0.071,0.995,-3.723,-0.366,1.892
0.023,-0.065,0.99,-3.967,-0.671,1.831
0.022,-0.061,0.982,-3.967,-0.793,1.648
0.02,-0.06,0.981,-3.906,-1.038,1.648
0.019,-0.061,0.979,-3.662,-1.038,1.526
0.022,-0.059,0.982,-3.54,-1.221,1.587
0.024,-0.053,0.979,-3.662,-1.709,1.404
0.021,-0.05,0.98,-3.662,-1.892,1.343
0.02,-0.053,0.984,-3.601,-2.136,1.16
0.019,-0.055,0.981,-2.991,-2.136,1.16
0.019,-0.052,0.98,-2.441,-2.38,1.221
0.017,-0.05,0.981,-1.892,-2.441,1.16
0.016,-0.055,0.982,-1.038,-2.258,0.854
0.021,-0.063,0.985,-0.366,-1.77,0.488
0.02,-0.081,0.994,-0.244,-1.587,0.305
0.016,-0.093,0.995,-0.305,-1.709,0.488
-0.028,0.081,1.459,42.297,-13.916,-26.672
0.22,-0.179,1.452,61.096,16.907,-20.752
0.387,-0.218,1.349,52.063,29.602,-23.437
0.349,-0.163,1.236,28.381,22.705,-28.503
0.307,-0.062,1.104,5.066,9.338,-32.593
0.286,-0.008,1.026,-9.277,-4.089,-32.654
0.229,-0.015,1.03,-15.808,-12.146,-30.64
0.219,-0.021,1.058,-17.517,-12.512,-28.748
0.239,-0.006,1.072,-18.188,-8.545,-27.527
0.26,0.032,1.037,-18.25,-4.272,-26.55
0.276,0.067,0.996,-16.174,-2.991,-25.635
0.273,0.097,0.976,-13.184,-5.371,-25.574
0.239,0.133,0.963,-8.972,-8.789,-26.428
0.206,0.138,0.949,-4.028,-11.353,-27.771
0.193,0.11,0.935,-2.075,-12.634,-29.175
0.18,0.094,0.929,-1.648,-13.489,-30.334
0.175,0.021,0.95,-2.502,-14.465,-31.738
0.167,-0.029,0.987,-6.714,-15.808,-32.654
0.139,-0.004,1.056,-12.451,-18.494,-35.278
0.064,0.006,1.128,-16.052,-19.47,-38.574
0.034,-0.042,1.165,-14.465,-17.944,-38.635
0.006,-0.142,1.16,-10.925,-14.893,-36.682
0.003,-0.222,1.14,-9.644,-10.681,-33.691
-0.001,-0.3,1.123,-10.864,-7.141,-29.358
-0.031,-0.357,1.088,-15.198,-4.517,-24.658
-0.05,-0.385,1.077,-23.01,-4.028,-18.982
-0.052,-0.42,1.052,-31.86,-4.517,-12.085
-0.063,-0.359,0.992,-36.133,-5.005,-4.578
-0.127,-0.194,0.989,-28.442,-5.249,0.427
-0.147,-0.174,1.001,-7.08,-0.549,5.493
-0.119,-0.237,1.003,22.095,11.536,13.123
-0.064,-0.258,0.993,50.781,26.245,18.738
-0.02,-0.278,0.955,71.106,36.621,22.095
0.054,-0.288,0.927,79.529,42.236,25.146
0.079,-0.338,0.925,75.867,40.649,27.71
0.118,-0.398,0.9,60.364,37.598,26.733
0.19,-0.408,0.868,40.771,31.372,27.527
0.188,-0.409,0.84,18.127,21.362,29.846
0.19,-0.344,0.804,-3.723,13.916,30.579
0.199,-0.223,0.768,-19.653,5.554,32.41
0.191,-0.13,0.754,-28.992,-4.883,33.63
0.136,-0.033,0.77,-31.921,-12.878,33.447
0.114,0.049,0.802,-29.602,-16.296,32.654
0.126,0.08,0.834,-23.987,-17.883,31.189
0.146,0.054,0.838,-18.311,-18.982,30.762
0.162,0.029,0.825,-15.076,-23.376,30.396
0.167,-0.014,0.802,-16.052,-30.701,29.724
0.164,-0.041,0.793,-21.729,-38.269,29.602
0.145,-0.011,0.786,-28.687,-45.288,29.236
0.08,0.172,0.444,-35.645,-52.246,27.1
-0.201,0.331,0.878,-42.419,-64.453,18.25
-0.165,0.521,1.156,-26.245,-60.242,4.822
-0.164,0.335,1.423,7.019,-35.645,2.075
-0.031,-0.031,1.537,25.452,-5.981,0.305
0.129,-0.132,1.479,25.269,13.916,-1.709
0.186,-0.061,1.307,9.277,17.09,-5.493
0.123,0.046,1.17,-4.761,7.629,-7.568
0.062,0.031,1.078,-9.644,-0.366,-7.385
0.06,-0.024,1.035,-9.338,-0.854,-7.019
0.076,-0.06,0.987,-8.301,1.648,-3.906
0.11,-0.089,0.942,-8.057,4.272,-1.465
0.114,-0.082,0.903,-8.911,5.066,0.122
0.119,-0.056,0.875,-8.606,4.028,0.61
0.117,-0.039,0.866,-6.47,1.77,0.549
0.101,-0.03,0.879,-3.174,-0.488,0.366
0.084,-0.029,0.9,0.244,-1.587,0.671
0.075,-0.024,0.915,2.869,-1.465,1.282
0.067,-0.04,0.935,4.883,-0.916,1.404
0.07,-0.069,0.96,1.892,-0.671,0.916
0.074,-0.063,0.987,-3.662,-1.16,0.61
0.072,-0.044,1.008,-8.667,-2.319,0.793
0.068,-0.014,1.032,-12.268,-3.662,1.404
0.056,0.006,1.041,-12.451,-4.15,2.38
0.048,0.003,1.031,-10.437,-3.418,2.869
0.05,-0.002,1.01,-8.057,-1.16,2.808
0.063,-0.008,0.991,-6.226,1.038,2.441
0.077,0.002,0.973,-5.127,2.319,1.831
0.081,0.021,0.962,-3.723,2.808,0.793
0.076,0.034,0.955,-1.648,2.808,0.305
0.074,0.032,0.949,1.343,3.174,0.244
0.076,0.012,0.948,3.418,3.418,0.183
0.087,-0.016,0.942,2.136,2.808,0.122
0.088,-0.012,0.946,-1.343,1.282,-0.854
0.074,-0.007,0.958,-4.333,-0.366,-1.16
0.068,-0.005,0.972,-5.798,-1.526,-0.732
0.063,0.004,0.978,-5.432,-1.648,-0.488
0.06,0.015,0.985,-3.235,-0.977,-0.427
0.061,-0.001,0.989,-0.305,-0.183,-0.671
0.06,-0.018,0.993,2.136,1.038,-0.977
0.06,-0.016,0.991,4.211,1.831,-1.465
0.058,-0.013,0.991,5.92,2.38,-1.709
0.056,-0.01,0.996,8.179,2.991,-1.709
0.057,-0.019,1,10.193,3.54,-1.77
