aX,aY,aZ,gX,gY,gZ
0.27,0.786,0.914,1.526,7.019,-135.986
0.264,0.725,0.884,-0.732,7.996,-151.672
0.266,0.714,0.875,1.77,8.423,-164.673
0.277,0.668,0.871,11.597,9.644,-176.453
0.269,0.573,0.839,25.574,12.146,-187.073
0.274,0.449,0.821,41.748,16.296,-196.533
0.292,0.355,0.8,61.157,20.935,-203.552
0.314,0.346,0.764,81.055,26.428,-208.862
0.322,0.374,0.75,103.577,31.555,-214.172
0.293,0.338,0.744,125.793,37.354,-218.75
0.3,0.18,0.716,142.456,44.861,-221.313
0.329,-0.054,0.708,145.386,49.988,-222.717
0.352,-0.22,0.719,134.277,50.781,-223.511
0.374,-0.255,0.682,114.197,49.011,-223.694
0.395,-0.176,0.586,97.168,44.8,-226.379
0.374,-0.136,0.556,90.21,39.185,-231.75
0.291,-0.212,0.577,99.182,37.292,-234.131
0.207,-0.389,0.608,115.479,41.138,-233.459
0.155,-0.587,0.617,137.939,48.157,-229.37
0.127,-0.76,0.632,160.156,56.335,-221.069
0.095,-0.86,0.654,169.556,62.622,-214.478
0.067,-0.891,0.681,156.982,65.796,-211.487
0.033,-0.881,0.671,126.404,65.186,-209.29
0.028,-0.91,0.648,79.102,61.34,-208.13
0.097,-0.896,0.563,27.954,56.885,-205.261
0.192,-0.83,0.424,-0.244,52.002,-201.477
0.2,-0.758,0.337,3.967,48.096,-198.364
0.097,-0.818,0.344,31.067,46.326,-194.031
0.03,-0.944,0.391,62.256,46.448,-188.232
-0.019,-1.058,0.446,82.092,45.471,-181.763
-0.086,-1.15,0.483,82.092,42.419,-174.438
-0.124,-1.194,0.509,59.692,38.269,-166.931
-0.117,-1.169,0.518,25.94,34.119,-158.325
-0.08,-1.152,0.506,-7.629,29.48,-150.085
-0.02,-1.136,0.501,-39.429,24.78,-144.165
0.042,-1.109,0.497,-61.462,20.325,-139.709
0.06,-1.04,0.493,-67.81,15.808,-135.986
0.033,-0.951,0.473,-57.8,10.681,-133.423
-0.028,-0.873,0.441,-37.842,5.859,-130.92
-0.086,-0.846,0.445,-18.494,1.404,-127.258
-0.135,-0.89,0.484,-5.798,-3.235,-121.338
-0.158,-0.965,0.535,-5.188,-7.324,-113.159
-0.137,-1.036,0.596,-15.625,-10.742,-104.004
-0.109,-1.08,0.655,-30.64,-13.184,-95.581
-0.103,-1.07,0.688,-42.542,-14.404,-88.44
-0.084,-1.015,0.688,-48.767,-14.832,-82.153
-0.091,-0.954,0.67,-49.438,-14.771,-76.355
-0.085,-0.953,0.56,-46.021,-14.954,-70.007
-0.162,-0.914,0.568,-35.461,-18.738,-60.791
-0.23,-1.103,0.598,-48.889,-21.606,-49.255
-0.113,-1.298,0.671,-94.666,-22.522,-30.579
-0.096,-1.23,0.796,-118.103,-24.902,-14.099
-0.141,-0.901,0.882,-121.338,-24.841,-3.601
-0.089,-0.782,0.93,-102.966,-23.01,1.343
-0.091,-0.818,0.954,-79.285,-19.714,4.333
-0.067,-0.816,0.945,-61.218,-15.442,8.301
-0.042,-0.747,0.942,-43.701,-11.169,12.207
-0.041,-0.68,0.935,-30.334,-7.69,14.709
-0.03,-0.673,0.913,-20.996,-4.822,16.663
-0.009,-0.674,0.882,-14.404,-2.258,17.7
0.018,-0.676,0.854,-10.193,-0.183,17.212
0.037,-0.665,0.846,-9.094,0.671,15.93
0.058,-0.645,0.833,-11.475,0.732,14.099
0.067,-0.648,0.82,-15.625,-0.366,11.597
0.064,-0.63,0.806,-19.653,-1.892,9.521
0.055,-0.605,0.793,-21.423,-2.808,7.874
0.042,-0.593,0.781,-23.621,-3.113,6.409
0.037,-0.585,0.771,-25.696,-3.418,5.066
0.037,-0.568,0.764,-27.588,-4.272,3.662
0.039,-0.571,0.756,-30.151,-5.493,2.563
0.039,-0.572,0.741,-32.288,-6.836,0.977
0.03,-0.582,0.744,-31.86,-8.24,-0.977
0.01,-0.589,0.758,-30.518,-8.911,-2.563
-0.003,-0.572,0.781,-26.184,-7.446,-2.808
-0.004,-0.575,0.762,-22.034,-6.042,-2.625
-0.002,-0.583,0.752,-18.005,-5.188,-2.258
0.006,-0.584,0.753,-13.428,-4.822,-1.648
0.005,-0.599,0.764,-9.766,-4.578,-1.404
0.004,-0.614,0.773,-7.996,-4.272,-1.038
0.002,-0.63,0.78,-7.812,-3.967,-0.244
0.003,-0.632,0.781,-8.24,-3.54,0.793
-0.001,-0.628,0.774,-8.606,-3.357,1.587
-0.002,-0.614,0.778,-8.057,-3.052,2.258
0,-0.604,0.787,-6.409,-2.441,2.747
0.003,-0.605,0.791,-5.005,-2.136,3.174
0.004,-0.598,0.788,-3.967,-1.892,3.601
0.001,-0.594,0.792,-3.052,-1.953,3.967
0.002,-0.589,0.801,-2.075,-1.831,4.15
0.001,-0.582,0.809,-1.221,-1.465,3.784
0,-0.565,0.807,-0.671,-1.343,3.357
-0.001,-0.562,0.809,0,-1.221,2.808
-0.008,-0.564,0.814,0.61,-1.16,2.38
-0.014,-0.567,0.815,1.221,-0.916,2.075
-0.016,-0.582,0.816,1.038,-0.427,1.77
-0.014,-0.599,0.821,-0.305,-0.244,1.648
-0.018,-0.598,0.825,-1.892,-0.305,1.953
-0.022,-0.587,0.825,-3.052,-0.61,2.014
-0.02,-0.585,0.821,-4.089,-0.61,1.892
-0.019,-0.577,0.816,-4.089,-0.488,2.075
-0.019,-0.574,0.812,-2.93,-0.366,2.502
-0.021,-0.569,0.81,-1.77,-0.061,2.808
-0.024,-0.562,0.803,-0.244,0.305,2.93
-0.021,-0.556,0.796,0.671,0.427,2.991
-0.012,-0.556,0.78,0.916,0.549,2.747
-0.002,-0.566,0.772,-0.122,-0.061,2.319
0.003,-0.572,0.78,-1.282,-0.977,1.953
0.005,-0.576,0.793,-1.831,-1.709,1.221
0,-0.585,0.804,-2.441,-2.197,0.732
-0.001,-0.591,0.807,-3.662,-2.38,0.732
0.007,-0.603,0.799,-6.042,-2.441,0.916
0.013,-0.608,0.809,-7.996,-2.991,0.977
0.008,-0.593,0.83,-8.545,-3.357,0.854
-0.002,-0.591,0.837,-7.629,-3.296,0.61
-0.001,-0.59,0.839,-5.859,-2.747,0.732
0.007,-0.588,0.834,-3.784,-1.77,0.977
0.009,-0.589,0.826,-2.197,-1.099,1.526
0.009,-0.581,0.818,-0.916,-0.427,1.587
0.01,-0.58,0.812,-0.427,-0.183,1.587
0.008,-0.577,0.807,-0.671,-0.183,1.648
-0.263,-1.426,0.526,-90.515,-2.075,-196.228
-0.206,-1.456,0.545,-132.08,-10.62,-182.312
-0.154,-1.324,0.532,-162.903,-19.287,-168.03
-0.148,-1.063,0.405,-170.41,-27.344,-155.457
-0.179,-0.849,0.32,-158.997,-35.645,-146.24
-0.187,-0.823,-0.03,-140.259,-42.603,-135.071
-0.413,-0.822,0.698,-119.507,-46.631,-120.605
-0.261,-1.915,0.709,-153.137,-34.607,-100.464
-0.092,-1.924,1,-157.349,-31.433,-55.115
-0.192,-1.526,1.048,-170.593,-28.32,-26.001
-0.045,-0.99,1.056,-163.757,-25.452,-12.207
-0.087,-0.661,1.061,-127.38,-23.01,-5.798
-0.126,-0.593,1.074,-76.721,-20.264,-4.395
-0.107,-0.576,1.044,-15.442,-13.306,-1.16
-0.106,-0.739,1.015,26.855,-5.859,5.859
-0.092,-0.868,0.981,45.715,1.099,17.09
-0.024,-0.926,0.938,46.143,5.859,28.015
0.043,-0.929,0.9,31.433,6.531,32.715
0.092,-0.891,0.863,7.629,5.371,32.104
0.103,-0.823,0.829,-18.372,2.014,28.809
0.1,-0.697,0.817,-39.063,-1.831,24.353
0.086,-0.578,0.821,-51.453,-5.615,19.592
0.055,-0.493,0.818,-57.495,-8.606,14.771
0.025,-0.446,0.813,-56.458,-10.315,10.864
0.011,-0.438,0.815,-51.331,-10.803,8.24
0.003,-0.433,0.839,-44.678,-10.559,5.859
-0.013,-0.444,0.864,-37.659,-9.949,4.395
-0.026,-0.476,0.892,-31.921,-8.972,3.174
-0.025,-0.509,0.9,-27.771,-7.202,2.258
-0.016,-0.511,0.901,-24.109,-5.005,1.892
-0.022,-0.49,0.892,-18.86,-2.869,1.465
-0.032,-0.484,0.854,-13.184,-0.549,0.854
-0.026,-0.477,0.805,-7.202,1.343,0.061
-0.011,-0.495,0.772,-2.319,2.136,-0.61
0,-0.511,0.758,-0.488,2.014,-0.793
0.003,-0.514,0.748,-0.488,1.099,-0.916
-0.001,-0.516,0.74,-0.977,-0.244,-1.038
-0.007,-0.523,0.742,-1.587,-1.526,-0.671
-0.009,-0.547,0.75,-3.174,-2.197,-0.305
-0.001,-0.562,0.765,-5.188,-2.869,0.366
0.002,-0.564,0.785,-6.836,-3.235,0.549
-0.001,-0.568,0.792,-7.996,-3.784,0.183
-0.005,-0.563,0.794,-7.263,-3.723,-0.305
-0.004,-0.562,0.8,-5.127,-3.235,-0.916
-0.004,-0.551,0.802,-3.296,-2.319,-1.526
-0.007,-0.548,0.802,-0.854,-1.648,-2.319
-0.006,-0.561,0.801,1.038,-1.343,-2.991
-0.002,-0.579,0.805,1.892,-1.099,-3.052
0.003,-0.6,0.809,2.93,-1.282,-2.563
0.006,-0.615,0.814,2.563,-1.526,-1.648
0,-0.622,0.818,0.244,-2.014,-0.122
-0.003,-0.615,0.84,-2.991,-2.625,1.221
-0.007,-0.602,0.852,-5.798,-3.235,2.686
-0.016,-0.581,0.85,-9.094,-3.54,3.54
-0.025,-0.557,0.847,-11.169,-3.662,4.089
-0.026,-0.538,0.837,-12.207,-3.601,4.272
-0.027,-0.519,0.836,-12.024,-3.784,4.211
-0.027,-0.506,0.841,-11.169,-3.967,3.784
-0.024,-0.498,0.843,-9.521,-4.089,3.418
-0.024,-0.502,0.841,-8.179,-3.906,2.991
-0.021,-0.497,0.839,-7.263,-3.845,2.38
-0.018,-0.504,0.842,-5.981,-3.906,1.709
-0.019,-0.527,0.847,-6.47,-3.967,0.916
-0.021,-0.534,0.85,-7.446,-3.845,0.427
-0.021,-0.528,0.851,-8.911,-3.906,-0.122
-0.028,-0.513,0.861,-9.583,-4.272,-0.122
-0.031,-0.513,0.861,-9.949,-4.028,-0.183
-0.026,-0.526,0.856,-10.742,-3.357,-0.122
-0.02,-0.522,0.849,-10.986,-3.113,0.366
-0.018,-0.509,0.849,-9.949,-3.113,0.244
-0.013,-0.518,0.855,-9.277,-2.991,-0.061
-0.006,-0.532,0.86,-9.949,-2.869,-0.305
-0.005,-0.535,0.862,-10.925,-2.869,-0.366
-0.006,-0.524,0.872,-10.193,-3.052,-0.366
-0.01,-0.515,0.877,-8.301,-2.808,-0.305
-0.014,-0.513,0.877,-5.981,-2.441,-0.061
-0.013,-0.52,0.877,-3.235,-1.892,0.122
-0.012,-0.533,0.872,-0.854,-1.526,0.549
-0.009,-0.545,0.872,-0.305,-1.221,0.793
-0.01,-0.546,0.88,-1.16,-1.099,0.854
-0.014,-0.539,0.878,-2.075,-0.977,1.038
-0.013,-0.533,0.868,-2.747,-0.916,0.977
-0.015,-0.524,0.855,-2.991,-0.61,1.526
-0.011,-0.512,0.834,-2.502,-0.427,1.648
-0.01,-0.51,0.821,-2.319,-0.671,2.197
-0.011,-0.506,0.825,-2.319,-0.977,2.441
-0.013,-0.503,0.831,-2.502,-1.709,2.441
-0.015,-0.507,0.843,-2.441,-2.197,2.197
-0.014,-0.514,0.854,-3.235,-2.38,2.075
-0.016,-0.507,0.866,-3.662,-2.319,1.953
-0.02,-0.512,0.872,-3.967,-1.892,1.831
-0.019,-0.509,0.869,-4.15,-1.343,1.953
-0.019,-0.497,0.859,-4.028,-0.854,2.075
-0.02,-0.497,0.84,-3.723,-0.427,1.953
-0.014,-0.5,0.839,-2.502,-0.244,1.77
-0.004,-0.507,0.84,-1.526,-0.061,1.892
-0.002,-0.515,0.843,-1.892,-0.122,1.77
