aX,aY,aZ,gX,gY,gZ
-0.048,-0.691,2.033,92.285,15.076,4.883
0.049,-0.475,1.501,30.457,30.029,5.676
0.196,-0.089,1.141,-14.404,31.25,7.874
0.191,-0.101,1.026,-26.917,33.081,11.475
0.202,-0.241,0.923,-28.809,38.757,11.169
0.245,-0.258,0.645,-28.076,39.795,16.174
0.187,-0.133,0.448,-20.996,31.311,18.677
0.156,0,0.408,-16.235,22.217,15.747
0.108,0.133,0.596,-15.686,11.169,8.85
0.029,0.141,0.765,-24.048,2.869,3.174
0.064,0.167,0.867,-28.687,-1.77,1.77
0.145,-0.032,0.869,-36.377,-6.958,-1.526
0.062,-0.059,1.074,-44.922,-13.184,-2.869
0.093,-0.026,1.17,-58.411,-17.822,-4.883
0.152,0.141,1.138,-51.392,-16.357,-4.211
0.141,-0.13,1.13,-30.151,-8.728,-4.944
0.188,-0.258,0.958,-27.466,-1.343,-4.089
0.218,-0.082,0.885,-35.4,-1.16,-3.113
0.218,0.029,0.907,-39.001,-2.014,-3.052
0.214,-0.008,0.985,-34.79,0.916,-1.221
0.207,0.017,1.012,-27.649,5.31,-0.916
0.213,-0.023,0.981,-20.813,9.155,-0.671
0.324,-0.039,0.932,-19.531,9.094,0.488
0.09,0.055,0.95,-21.973,-0.916,2.563
0.122,0.121,0.876,-14.526,2.991,1.465
0.168,0.051,0.858,0.427,7.324,2.502
0.128,0.059,0.896,20.813,8.484,2.808
0.135,0.043,0.852,38.452,9.155,0.671
0.156,0.055,0.781,45.41,6.226,-0.488
0.123,0.172,0.785,45.715,-1.404,-2.808
0.117,0.179,0.797,47.852,-10.498,-6.226
0.086,0.132,0.799,51.575,-19.897,-8.545
0.034,0.213,0.769,59.448,-27.466,-11.597
0.062,0.145,0.875,82.336,-30.64,-13.855
0.013,-0.181,0.939,100.525,-30.945,-13
0.082,-0.344,1.012,98.511,-25.757,-13.184
0.134,-0.284,1.05,80.933,-30.151,-10.62
0.093,-0.184,1.078,60.425,-35.706,-9.705
0.078,-0.237,1.12,43.64,-32.288,-10.193
0.092,-0.268,1.142,27.466,-26.917,-7.202
0.122,-0.205,1.138,16.846,-21.057,-4.211
0.162,-0.172,1.097,14.954,-16.785,-2.502
0.13,-0.18,1.06,18.066,-14.099,-1.221
