aX,aY,aZ,gX,gY,gZ
0.658,0.771,0.042,-6.165,0.427,-15.015
0.626,0.75,0.05,-7.446,0,-17.578
0.587,0.757,0.032,-5.615,-1.343,-17.517
0.6,0.768,0.008,-3.662,-0.732,-15.442
0.619,0.79,0.002,-2.563,1.038,-11.841
0.643,0.759,-0.009,-1.465,2.075,-7.751
0.69,0.717,-0.006,0.244,3.662,-4.028
0.703,0.74,0.007,1.526,5.493,-3.357
0.677,0.745,0.013,0.854,4.822,-5.31
0.645,0.723,0.018,0.671,3.174,-5.798
0.628,0.724,0.02,1.16,2.38,-4.211
0.634,0.713,0.022,1.648,1.77,-2.502
0.626,0.7,0.022,1.892,1.16,-1.709
0.622,0.707,0.017,1.282,0.671,-2.991
0.637,0.729,0.011,0.977,0.732,-3.845
0.648,0.734,0.014,1.099,1.099,-3.235
0.657,0.73,0.014,0.977,0.793,-2.136
0.652,0.735,0.016,1.038,0.793,-1.404
0.66,0.735,0.022,1.282,0.671,-0.427
0.659,0.738,0.028,1.648,0.183,0.183
0.656,0.737,0.027,1.892,-0.671,0.732
0.657,0.738,0.029,2.136,-1.099,1.465
0.658,0.738,0.03,2.258,-1.343,2.136
0.661,0.736,0.033,2.319,-1.465,2.502
0.669,0.731,0.034,2.502,-1.831,2.93
0.674,0.733,0.037,2.563,-2.258,2.869
0.65,0.745,0.037,2.441,-2.502,2.38
0.651,0.75,0.035,2.136,-2.197,2.625
0.655,0.748,0.039,2.014,-1.953,3.296
0.657,0.745,0.039,1.282,-1.953,3.296
0.656,0.746,0.038,0.793,-1.77,3.418
0.664,0.743,0.041,0.549,-1.404,3.296
0.668,0.74,0.041,0.244,-1.282,2.991
0.662,0.743,0.041,0,-1.343,2.441
0.654,0.749,0.039,-0.305,-1.343,1.892
0.651,0.751,0.039,-0.488,-0.916,1.831
0.649,0.751,0.04,-0.854,-0.732,1.77
0.649,0.751,0.038,-1.16,-0.732,1.892
0.654,0.754,0.036,-1.526,-0.488,1.587
0.659,0.753,0.035,-1.831,-0.366,1.282
0.663,0.751,0.034,-1.831,-0.366,0.977
0.664,0.753,0.033,-2.136,-0.305,0.793
0.664,0.752,0.03,-2.075,0,0.427
0.665,0.75,0.03,-2.014,0.244,0.366
0.659,0.745,0.027,-2.014,0.305,0.305
0.667,0.748,0.025,-1.892,0.366,0.305
0.663,0.753,0.023,-1.77,0.549,0
0.66,0.752,0.02,-1.587,0.732,-0.366
0.656,0.747,0.021,-1.221,0.854,-0.122
0.649,0.741,0.022,-1.221,1.038,-0.122
0.644,0.737,0.025,-0.916,0.854,-0.244
0.645,0.732,0.02,-0.732,0.671,-0.427
0.653,0.733,0.02,-0.488,0.549,-0.671
0.654,0.737,0.02,-0.244,0.549,-0.671
0.656,0.734,0.019,-0.061,0.427,-0.427
0.662,0.735,0.019,0.488,0.427,0.061
0.664,0.735,0.018,0.671,0.549,0.244
0.662,0.735,0.018,0.549,0.488,0.122
0.658,0.736,0.021,0.61,0.671,0.122
0.657,0.735,0.022,0.549,0.549,0.183
0.66,0.736,0.022,0.549,0.488,0.244
0.657,0.738,0.022,0.366,0.427,0.183
0.657,0.739,0.022,0.427,0.427,0.183
0.652,0.739,0.023,0.488,0.305,0.427
0.655,0.74,0.022,0.244,0.183,0.488
0.658,0.742,0.021,0.122,0.183,0.732
0.662,0.739,0.023,0.122,0.183,0.977
0.659,0.739,0.025,0.122,-0.122,0.977
0.658,0.737,0.025,0,-0.305,1.282
0.66,0.739,0.026,0.183,-0.244,1.526
0.661,0.74,0.027,0.305,-0.366,1.709
0.662,0.74,0.027,0.305,-0.671,1.709
0.66,0.742,0.027,0.244,-0.793,1.587
0.657,0.745,0.029,0.244,-0.793,1.465
0.653,0.746,0.028,0.183,-0.977,1.343
0.656,0.745,0.029,-0.183,-1.221,1.282
0.66,0.746,0.029,0,-1.099,1.404
0.659,0.743,0.026,0.061,-1.16,1.526
0.658,0.738,0.026,-0.305,-0.916,1.282
0.663,0.741,0.028,-0.427,-0.732,0.671
0.663,0.741,0.027,-0.366,-0.854,0.427
0.662,0.741,0.028,-0.183,-0.854,0.488
0.661,0.739,0.031,-0.427,-0.488,0.488
0.663,0.739,0.03,-0.427,-0.549,0.732
0.666,0.74,0.027,-0.061,-0.549,0.61
0.665,0.74,0.028,-0.061,-0.183,0.488
0.667,0.74,0.029,0,0.244,0.366
0.666,0.74,0.027,0,0.183,0
0.665,0.741,0.025,-0.122,0.305,-0.183
0.665,0.739,0.026,-0.244,0.671,-0.305
0.667,0.739,0.027,-0.305,0.732,-0.488
0.665,0.74,0.024,-0.427,0.61,-0.305
0.666,0.741,0.024,-0.244,0.732,-0.366
